id_client,nom,prenom,email,date_naissance,sexe,ville,telephone,date_inscription,canal_acquisition
C0353,Benhima,Nabil,nabil.benhima36@hotmail.com,1999-06-14,Homme,Tanger,0519292752,2021-07-29,bouche_a_oreille
C0690,Filali,Rachid,rachid.filali53@,1977-08-23,1,Tanger,0748360854,2023-05-15,direct
C0486,Mrabet,Meryem,meryem.mrabet6@gmail.com,1996-12-22,female,Tnja,0796854982,2020-10-08,google
C0389,Bouzidi,Tariq,tariq.bouzidi15@hotmail.com,1999-05-13,m,Tanger,0793751509,2023-02-02,direct
C0032,Sefrioui,Houda,houda.sefrioui1@hotmail.com,1971-10-20,m,Rabat,0768893734,2022-09-03,email_marketing
C0443,Cherkaoui,Ahmed,ahmed.cherkaoui11@outlook.com,1996-10-06,1,meknes,0545977945,2020-04-02,google
C0199,Lahlou,Loubna,loubna.lahlou34@hotmail.com,1963-07-25,male,Rabat,0610698720,2023-01-11,bouche_a_oreille
C0426,Cherkaoui,Othmane,othmane.cherkaoui81@hotmail.com,2007-09-30,1,RABAT,0511238296,2021-02-13,bouche_a_oreille
C0108,Benjelloun,Imane,imane.benjelloun72@gmail.com,1999-10-18,male,RABAT,0671473210,2022-11-20,bouche_a_oreille
C0715,Benjelloun,Othmane,othmane.benjelloun88@yahoo.fr,2002-12-19,female,oujda,0524064242,2021-09-22,tiktok
C0553,Fassi,Othmane,othmane.fassi7@hotmail.com,1983-07-13,1,Oujda,0696727578,2021-07-01,bouche_a_oreille
C0676,Sefrioui,Loubna,loubna.sefrioui99@hotmail.com,1992-11-09,Homme,casa,0751376515,2021-05-12,tiktok
C0159,Chraibi,Rachid,rachid.chraibi48@yahoo.fr,1989-02-27,0,Marrakech,0769296627,2021-01-09,direct
C0476,Naciri,Karim,karim.naciri84@gmail.com,1982-07-28,female,MARRAKECH,0671569562,2020-06-15,direct
C0424,Cherkaoui,Nabil,nabil.cherkaoui39@gmail.com,2007-10-04,male,Meknes,0643275604,2021-06-07,instagram
C1025,Benali,Hassan,hassan.benali28@yahoo.fr,2005-01-30,male,AGADIR,0634680072,2023-03-17,direct
C0618,Tazi,Loubna,loubna.tazi19@hotmail.com,1965-10-25,0,TNG,0650537953,2022-01-31,tiktok
C0484,Alaoui,Saad,saad.alaoui80@outlook.com,1983-10-06,Homme,casa,0590767699,2020-07-15,instagram
C0885,Lahlou,Sanaa,sanaa.lahlou88@hotmail.com,1963-12-04,1,Oujda,0585379821,2021-01-24,direct
C0651,Bouzidi,Houda,houda.bouzidi85@hotmail.com,1971-05-05,1,Tnja,0559959961,2022-11-04,instagram
C0245,Berrada,Ahmed,ahmed.berrada9@yahoo.fr,1974-04-28,h,agadir,0536138612,2023-07-07,instagram
C0848,Hajji,Saad,saad.hajji90@gmail.com,1992-10-16,Homme,Rabat,0732400615,2022-05-16,email_marketing
C0983,Naciri,Soukaina,soukaina.naciri19@hotmail.com,2002-07-31,female,marrakech,0793259140,2021-08-28,tiktok
C0829,Filali,Sanaa,sanaa.filali82@hotmail.com,2000-05-17,1,Rabat,0515970996,2021-02-07,google
C0571,Mrabet,Houda,houda.mrabet21@yahoo.fr,1995-01-22,Homme,marrakech,0508788443,2020-01-08,bouche_a_oreille
C0060,Benali,Sara,sara.benali30@,1969-08-21,m,casa,0539421047,2021-08-09,instagram
C0291,Tazi,Rachid,rachid.tazi10@outlook.com,2004-12-08,1,Casablanca,0646013673,2022-03-14,direct
C0071,Benhima,Sanaa,sanaa.benhima9@gmail.com,1998-05-09,Femme,Meknes,0616152809,2022-08-29,tiktok
C0345,Fassi,Hamza,hamza.fassi50@outlook.com,1979-08-01,1,CASA,0654946519,2021-08-19,instagram
C0185,Squalli,Youssef,youssef.squalli12@yahoo.fr,1994-11-10,m,rabat,0780442067,2020-10-30,tiktok
C0142,Benali,Othmane,othmane.benali83@hotmail.com,2002-08-12,1,marrakech,0680339740,2022-06-07,instagram
C0391,Benjelloun,Ilias,ilias.benjelloun50@hotmail.com,1998-09-19,male,Tanger,0755478137,2022-01-27,direct
C0492,Mrabet,Saad,saad.mrabet19@yahoo.fr,1963-04-01,male,kenitra,0638655963,2020-08-30,instagram
C0827,Chraibi,Karim,karim.chraibi72@outlook.com,1968-10-05,h,Oujda,0731271026,2020-11-20,email_marketing
C0102,Squalli,Ghita,ghita.squalli82@yahoo.fr,1962-05-06,1,kenitra,0783132370,2023-12-05,bouche_a_oreille
C0750,Chraibi,Khadija,khadija.chraibi73gmail.com,1890-01-01,0,Meknes,0583350615,2022-07-29,tiktok
C0552,Benhima,Hajar,hajar.benhima97@outlook.com,2005-01-26,f,Casablanca,0788967924,2021-10-13,instagram
C0307,Hajji,Rachid,rachid.hajji94@outlook.com,1999-03-31,0,Fès,0598136462,2023-10-11,google
C0987,Fassi,Saad,saad.fassi87@yahoo.fr,1970-10-31,male,FES,0541869656,2023-01-20,direct
C0322,Squalli,Karim,karim.squalli60@outlook.com,1963-08-13,m,TANGER,0581298266,2020-10-18,bouche_a_oreille
C0800,Fassi,Houda,houda.fassi40hotmail.com,2027-04-18,male,RABAT,0698628950,2022-07-14,tiktok
C0731,Berrada,Loubna,loubna.berrada94@yahoo.fr,1974-03-14,f,AGADIR,0764579389,2020-09-15,email_marketing
C0678,Tazi,Aicha,aicha.tazi74@outlook.com,1981-08-14,male,AGADIR,0627021648,2020-10-30,direct
C0654,Squalli,Sanaa,sanaa.squalli68@yahoo.fr,1996-02-03,0,TANGER,0501302056,2022-06-07,tiktok
C0077,Fassi,Hamza,hamza.fassi1@outlook.com,1989-11-11,Homme,oujda,0722683885,2020-09-02,instagram
C0193,Sefrioui,Youssef,youssef.sefrioui10@hotmail.com,2000-07-29,1,Oujda,0569154522,2022-01-17,direct
C0087,Mansouri,Othmane,othmane.mansouri21@yahoo.fr,1969-10-22,1,Meknes,0592706537,2020-11-11,tiktok
C0459,Chraibi,Hajar,hajar.chraibi65@hotmail.com,1984-12-17,m,TNG,0617490753,2023-07-08,direct
C1049,Cherkaoui,Mehdi,mehdi.cherkaoui77@outlook.com,2027-04-18,male,TANGER,0759266108,2023-02-27,bouche_a_oreille
C0919,Naciri,Ilias,ilias.naciri84@gmail.com,1963-01-17,Homme,rabat,0663510046,2022-08-27,google
C1004,Mrabet,Aicha,aicha.mrabet56@gmail.com,1986-01-19,Femme,casa,0619036890,2021-12-03,instagram
C0310,Squalli,Hamza,hamza.squalli80@yahoo.fr,1985-06-17,1,Fès,0633521103,2022-06-24,tiktok
C0744,Filali,Soukaina,soukaina.filali16@gmail.com,1981-12-17,f,Fès,0704605687,2023-01-05,email_marketing
C0874,Cherkaoui,Ilias,ilias.cherkaoui77@hotmail.com,1998-04-05,Homme,FES,0621377306,2021-08-17,direct
C0399,Benali,Ilias,ilias.benali47@yahoo.fr,1985-11-20,female,Meknes,0798524013,2023-11-16,google
C0617,Tazi,Nadia,nadia.tazi33@outlook.com,1998-04-08,female,Rabat,0585601256,2022-11-13,google
C0050,Naciri,Soukaina,soukaina.naciri33hotmail.com,1890-01-01,m,TNG,0780876038,2021-10-06,bouche_a_oreille
C0200,Tazi,Karim,karim.tazi62yahoo.fr,2027-04-18,Homme,TNG,0632417146,2023-05-14,email_marketing
C0599,Sefrioui,Rachid,rachid.sefrioui47@outlook.com,1969-10-20,m,fes,0603064421,2020-05-07,google
C0970,Mrabet,Mehdi,mehdi.mrabet5@hotmail.com,1964-05-16,m,agadir,0504333353,2021-11-27,tiktok
C0883,Squalli,Ghita,ghita.squalli97@yahoo.fr,1975-08-25,female,fes,0717588914,2022-03-01,direct
